tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi;saldo anterior 
1586;9/01/2020;27/09/2020;51008;0;0;3992;110000;;;due;586;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;55000
1587;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;587;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1588;9/01/2020;27/09/2020;51008;0;0;3992;75000;;;due;588;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;20000
1589;9/01/2020;27/09/2020;61008;0;0;3992;130000;;;due;589;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;65000
1590;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;590;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1591;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;591;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1592;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;592;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1593;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;593;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1594;9/01/2020;27/09/2020;21008;0;0;3992;25000;;;due;594;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0;0
1595;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;595;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1596;9/01/2020;27/09/2020;61008;0;0;3992;130000;;;due;596;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;65000
1597;9/01/2020;27/09/2020;101008;0;0;3992;105000;;;due;597;8;0;2;Yes;0;%;Yopal ;Television ;10Megas;0;no;Activo;0;0
1598;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;598;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1599;9/01/2020;27/09/2020;61008;0;0;3992;130000;;;due;599;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;65000
1600;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;600;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1601;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;601;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1602;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;602;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1603;9/01/2020;27/09/2020;61008;0;0;3992;157242;;;due;603;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;92242
1604;9/01/2020;27/09/2020;61008;0;0;3992;160000;cash;;due;604;8;4000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;95000
1605;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;605;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1606;9/01/2020;27/09/2020;21008;0;0;3992;25000;;;due;606;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0;0
