tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;term;rec;ron;multi
1001;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;1;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1010;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;10;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1012;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;12;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1014;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;14;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1015;09/01/2020;27/09/2020;61008;0;0;3992;22667;EFECTIVOS ;;due;15;8;42333;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1016;09/01/2020;27/09/2020;61008;0;0;3992;84190;EFECTIVOS ;;due;16;8;;3;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1018;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;18;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1022;09/01/2020;27/09/2020;55000;0;0;;101129;EFECTIVOS ;;due;22;8;;2;No;0;%;Yopal ;No;5Megas ;0;no;Activo;0
1023;09/01/2020;27/09/2020;61008;0;0;3992;85968;EFECTIVOS ;;due;23;8;;3;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1025;09/01/2020;27/09/2020;61008;0;0;3992;80000;EFECTIVOS ;;due;25;8;;3;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1028;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;28;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1029;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;29;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1034;09/01/2020;27/09/2020;61008;0;0;3992;30000;EFECTIVOS ;;due;34;8;35000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1038;09/01/2020;27/09/2020;66008;0;0;3992;70000;EFECTIVOS ;;due;38;8;0;2;yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1039;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;39;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1040;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;40;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1042;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;42;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1043;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;43;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1050;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;50;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1051;09/01/2020;27/09/2020;61008;0;0;3992;-13822;EFECTIVOS ;;due;51;8;78822;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1060;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;60;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1061;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;61;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1062;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;62;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1063;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;63;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1065;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;65;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1066;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;66;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1075;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;75;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1077;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;77;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1087;09/01/2020;27/09/2020;61008;0;0;3992;62333;EFECTIVOS ;;due;87;8;2667;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1088;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;88;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1089;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;89;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1090;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;90;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1096;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;96;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1098;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;98;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1102;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;102;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1106;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;106;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1112;09/01/2020;27/09/2020;61008;0;0;3992;43333;EFECTIVOS ;;due;112;8;21667;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1115;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;115;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1116;09/01/2020;27/09/2020;61008;0;0;3992;45430;EFECTIVOS ;;due;116;8;19570;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1120;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;120;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1126;09/01/2020;27/09/2020;61008;0;0;3992;130000;EFECTIVOS ;;due;126;8;;3;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1134;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;134;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1135;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;135;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1138;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;138;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
1157;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;157;8;0;2;Yes;0;%;Yopal ;Television ;5Megas ;0;no;Activo;0
