tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi
1268;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;268;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1269;09/01/2020;27/09/2020;45000;0;0;;0;EFECTIVOS ;;paid;269;8;45000;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1270;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;270;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1271;09/01/2020;27/09/2020;51008;0;0;3992;69000;EFECTIVOS ;;due;271;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1272;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;272;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1273;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;273;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1274;09/01/2020;27/09/2020;45000;0;0;;45000;EFECTIVOS ;;due;274;8;0;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1275;09/01/2020;27/09/2020;21008;0;0;3992;25000;EFECTIVOS ;;due;275;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1276;09/01/2020;27/09/2020;41008;0;0;3992;0;EFECTIVOS ;;paid;276;8;45000;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1277;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;277;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1278;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;278;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1279;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;279;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1280;09/01/2020;27/09/2020;45000;0;0;;45000;EFECTIVOS ;;due;280;8;0;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
